"File: DDELog(Excel:M11_DRG	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M11_DRG_20_7\M11.LOG"
"Date: Wed Jul 20 2022 10:26:36.658"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
1321.8330
1355.2580
0.0000, "Clock reset to 0.0"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (120, 118), Size: (62, 63), Area: 3008]"
"Region 2: [Location: (305, 144), Size: (32, 32), Area: 788]"
"Region 3: [Location: (332, 155), Size: (33, 32), Area: 812]"
"Region 4: [Location: (278, 213), Size: (27, 28), Area: 584]"
"Region 5: [Location: (300, 224), Size: (36, 36), Area: 1000]"
"Region 6: [Location: (323, 258), Size: (40, 38), Area: 1180]"
"Region 7: [Location: (374, 248), Size: (39, 49), Area: 1483]"
"Region 8: [Location: (376, 304), Size: (26, 27), Area: 538]"
"Region 9: [Location: (63, 230), Size: (37, 33), Area: 933]"
"Region 10: [Location: (26, 264), Size: (35, 38), Area: 1026]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
42.2570, 1757.8807, 6805.8843, 1689.7525, 4374.3642, 1693.1379, 4521.4606, 1684.2123, 4179.2517, 1686.4640, 3648.6700, 1664.6110, 3347.8220, 1695.7829, 2627.8200, 1644.2677, 2975.9052, 1600.3794, 1639.5123, 1597.7183, 1633.6803
43.2570, 1758.2350, 6803.1237, 1692.7310, 4377.0799, 1694.0567, 4524.4495, 1682.3853, 4175.8887, 1684.4140, 3647.3170, 1664.3686, 3346.4585, 1694.8887, 2618.7350, 1642.4684, 2974.3959, 1600.2315, 1639.9657, 1597.5955, 1633.9805
44.2570, 1758.5974, 6803.6566, 1691.0317, 4373.0368, 1693.7204, 4524.5049, 1684.4418, 4171.6849, 1684.9760, 3651.9450, 1663.3898, 3337.6602, 1695.3028, 2615.5678, 1644.9535, 2973.0037, 1600.2615, 1640.7781, 1597.0390, 1634.0400
45.2570, 1758.0575, 6794.8138, 1690.4594, 4366.7398, 1694.0505, 4520.4926, 1682.9829, 4176.9829, 1684.6610, 3647.3890, 1664.3169, 3340.5407, 1695.6352, 2583.4727, 1645.2621, 2965.0483, 1599.5916, 1638.9389, 1597.3031, 1634.5750
46.2570, 1757.7646, 6797.9824, 1690.1561, 4363.9734, 1692.6970, 4527.5443, 1682.2312, 4170.7500, 1686.2730, 3644.1870, 1664.2525, 3341.6051, 1694.2724, 2581.5866, 1644.0502, 2972.9312, 1601.7588, 1637.8253, 1595.9600, 1633.2680
47.2570, 1758.2909, 6795.6506, 1692.0952, 4366.3439, 1694.4889, 4515.3103, 1682.8630, 4173.5360, 1684.9060, 3647.7670, 1663.0551, 3337.0754, 1695.2825, 2588.7687, 1643.7435, 2966.5000, 1600.6774, 1639.3526, 1595.7144, 1631.5370
48.2570, 1758.0465, 6794.6822, 1691.9607, 4358.7411, 1694.5320, 4517.8916, 1682.3134, 4171.7363, 1685.7740, 3647.3710, 1664.4932, 3335.7932, 1695.2421, 2602.9225, 1645.0874, 2969.0390, 1600.2872, 1637.7781, 1596.8850, 1634.4483
49.2570, 1758.2566, 6793.3780, 1692.4492, 4364.0241, 1693.8042, 4520.9951, 1682.7380, 4176.6712, 1683.8670, 3650.1170, 1664.8000, 3340.1525, 1695.9508, 2603.6197, 1644.7230, 2968.1468, 1600.1951, 1639.8682, 1598.0897, 1632.0146
50.2570, 1757.6233, 6790.0485, 1690.3033, 4363.5571, 1692.6675, 4515.8904, 1682.1353, 4178.1901, 1684.6670, 3642.7520, 1662.2237, 3330.4619, 1694.4309, 2597.9960, 1644.2472, 2971.9424, 1601.0954, 1639.4277, 1595.7710, 1632.8402
51.2570, 1756.6323, 6789.1905, 1690.1269, 4371.3921, 1692.6022, 4514.1096, 1681.6866, 4169.5942, 1684.1080, 3646.5720, 1662.9525, 3330.8297, 1694.1308, 2571.2610, 1644.4405, 2967.8736, 1598.6881, 1638.5488, 1596.3606, 1634.3304
