"File: DDELog(Excel:M3_19_7	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M3_DRG_19_7\S+TM3.LOG"
"Date: Tue Jul 19 2022 11:44:43.829"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
136.0420
187.5460
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (101, 182), Size: (36, 39), Area: 1088]"
"Region 2: [Location: (358, 238), Size: (53, 37), Area: 1501]"
"Region 3: [Location: (302, 415), Size: (33, 38), Area: 966]"
"Region 4: [Location: (160, 416), Size: (46, 46), Area: 1642]"
"Region 5: [Location: (261, 60), Size: (42, 48), Area: 1540]"
"Region 6: [Location: (245, 219), Size: (40, 43), Area: 1334]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg"
96.3840, 1763.4917, 5694.6406, 1755.2412, 5388.1352, 1814.3520, 7720.4151, 1802.0871, 3808.7558, 1608.8578, 1654.2266, 1607.2046, 1658.7804
97.3840, 1764.9063, 5691.0974, 1755.9793, 5376.4530, 1813.5787, 7711.8654, 1802.6912, 3785.0505, 1608.4571, 1652.6039, 1607.8441, 1657.3298
98.3840, 1763.9063, 5688.1204, 1754.9194, 5368.4350, 1814.3602, 7721.5528, 1804.2296, 3763.6352, 1609.5416, 1654.7994, 1608.0180, 1657.2039
99.3840, 1763.3116, 5682.8952, 1755.5170, 5344.5376, 1813.4845, 7712.1273, 1803.5828, 3758.3727, 1607.0760, 1655.4357, 1607.5840, 1656.7286
100.3840, 1762.5285, 5688.0634, 1753.8461, 5332.8514, 1813.0124, 7707.2516, 1801.5335, 3755.3642, 1608.8084, 1654.9364, 1606.1544, 1658.6139
101.3840, 1763.3796, 5690.1250, 1755.4410, 5307.7275, 1812.5217, 7701.8458, 1801.7247, 3745.9208, 1608.2714, 1654.3032, 1607.0210, 1657.8621
102.3840, 1763.5726, 5680.3952, 1753.6429, 5293.8628, 1812.6056, 7709.4741, 1803.5920, 3737.5652, 1608.0240, 1654.0708, 1606.7729, 1658.1199
103.3840, 1762.8456, 5680.6728, 1754.5303, 5285.5083, 1812.0383, 7706.7878, 1801.7844, 3730.8770, 1609.2545, 1654.3292, 1607.8928, 1657.8733
104.3840, 1763.2270, 5680.1857, 1753.4377, 5267.7875, 1811.6253, 7707.4130, 1804.5755, 3713.6778, 1609.1305, 1654.5812, 1607.2954, 1658.9228
105.3840, 1763.1710, 5681.4283, 1752.5636, 5259.5223, 1810.0186, 7710.4027, 1803.0968, 3714.7162, 1609.0526, 1653.5234, 1606.7924, 1657.0517
