"File: DDELog(Excel:M14	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M14_DRG_20_7\M14.LOG"
"Date: Wed Jul 20 2022 11:32:39.130"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
49.9070
0.0000, "Clock reset to 0.0"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (230, 229), Size: (35, 37), Area: 991]"
"Region 2: [Location: (448, 268), Size: (29, 34), Area: 758]"
"Region 3: [Location: (196, 345), Size: (39, 36), Area: 1088]"
"Region 4: [Location: (40, 49), Size: (43, 50), Area: 1660]"
"Region 5: [Location: (51, 144), Size: (51, 91), Area: 3619]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg"
122.3290, 1752.2634, 3174.3088, 1657.4894, 3463.2955, 1737.3189, 3165.3557, 1586.6452, 1612.1440, 1587.1415, 1619.4885
123.3290, 1753.6831, 3173.9869, 1658.5646, 3464.2190, 1735.3511, 3159.4540, 1586.0602, 1611.1669, 1587.2744, 1619.9353
124.3290, 1753.5277, 3171.2916, 1657.3153, 3460.8325, 1737.7693, 3160.7224, 1585.3964, 1610.3373, 1587.5803, 1619.8665
125.3290, 1752.9869, 3167.9132, 1658.9710, 3459.8153, 1734.9651, 3169.9393, 1585.8048, 1610.6398, 1586.3051, 1619.8162
126.3290, 1752.3461, 3168.0383, 1659.4142, 3456.2032, 1735.5404, 3177.3024, 1585.6928, 1611.1620, 1586.7483, 1619.8052
127.3290, 1753.7064, 3165.8224, 1656.8127, 3459.1768, 1736.0009, 3186.0450, 1585.8663, 1610.5910, 1586.3968, 1618.6494
128.3290, 1753.2159, 3162.7033, 1658.1939, 3462.0580, 1737.3226, 3188.9099, 1584.8295, 1610.4006, 1586.3772, 1619.1119
129.3290, 1753.2583, 3161.0605, 1657.9802, 3461.6359, 1733.9063, 3193.5965, 1584.9572, 1610.2699, 1586.1517, 1619.4800
130.3290, 1750.8436, 3157.7558, 1657.9142, 3456.0633, 1735.0947, 3198.4540, 1584.8566, 1611.0120, 1587.0169, 1619.1594
131.3290, 1751.8385, 3159.4642, 1657.7995, 3457.6332, 1734.3539, 3197.4210, 1586.3849, 1611.0380, 1587.1011, 1619.8541
132.3290, 1751.4077, 3154.6993, 1659.1873, 3454.5778, 1734.4577, 3191.0643, 1585.9952, 1611.3693, 1588.2802, 1619.7162
133.3290, 1751.7064, 3156.1867, 1658.0264, 3453.5501, 1734.6682, 3190.5561, 1584.8361, 1612.0753, 1586.7599, 1619.3719
134.3290, 1752.3199, 3152.5570, 1659.5792, 3447.9683, 1734.6121, 3161.4412, 1585.9169, 1610.9735, 1587.6411, 1618.0522
135.3290, 1751.0585, 3151.2119, 1658.2045, 3448.4683, 1735.9651, 3166.1994, 1585.4271, 1610.8000, 1586.6786, 1618.9721
136.3290, 1752.9062, 3149.1201, 1658.0765, 3453.1266, 1737.6590, 3154.2500, 1587.4271, 1611.9831, 1587.6673, 1619.4197
137.3290, 1751.4874, 3148.2997, 1657.8602, 3445.1214, 1736.0947, 3150.4798, 1585.8265, 1611.3880, 1587.1893, 1619.5899
138.3290, 1752.6821, 3141.8729, 1658.0092, 3443.7533, 1733.7528, 3142.7142, 1587.2349, 1611.2554, 1586.8704, 1619.1152
139.3290, 1751.6398, 3143.4844, 1657.7823, 3443.7480, 1734.4706, 3148.2096, 1585.9163, 1611.0096, 1585.8121, 1618.8928
140.3290, 1751.4914, 3138.6014, 1656.9683, 3442.2137, 1734.9485, 3149.8787, 1585.6669, 1610.7042, 1585.9627, 1619.4562
141.3290, 1750.4723, 3133.0545, 1658.6741, 3444.1781, 1736.3906, 3128.8116, 1585.4657, 1610.6127, 1586.7090, 1619.1652
142.3290, 1754.2059, 3140.0777, 1658.4393, 3446.9881, 1735.5634, 3129.5965, 1586.6645, 1609.9994, 1587.2946, 1620.1592
143.3290, 1752.5984, 3138.5489, 1659.3061, 3442.2691, 1735.7270, 3137.7279, 1586.0343, 1611.7289, 1587.4808, 1618.5557
144.3290, 1750.9435, 3131.9808, 1658.0040, 3440.6847, 1734.6085, 3130.0414, 1585.3934, 1611.1675, 1586.7897, 1617.9500
145.3290, 1752.6165, 3132.2634, 1659.9024, 3439.1240, 1735.5515, 3146.3281, 1586.5633, 1610.5349, 1588.4927, 1618.2835
146.3290, 1751.0222, 3129.6932, 1656.8799, 3443.7230, 1734.5294, 3127.0055, 1585.7301, 1611.2681, 1587.4935, 1618.8243
147.3290, 1751.8910, 3126.9294, 1657.1280, 3437.4485, 1735.1314, 3120.8061, 1585.2819, 1610.7205, 1587.2133, 1619.2089
148.3290, 1752.3269, 3126.0373, 1656.6807, 3442.3984, 1734.0744, 3118.7941, 1585.6434, 1610.9620, 1586.7911, 1618.9431
149.3290, 1751.9263, 3123.9516, 1658.7678, 3435.0884, 1734.4596, 3117.4246, 1585.0169, 1609.8404, 1586.7397, 1617.9091
150.3290, 1752.7558, 3121.2815, 1657.2190, 3433.3852, 1734.5625, 3114.8355, 1584.6627, 1610.3741, 1586.8641, 1618.1666
151.3290, 1749.7538, 3122.1110, 1659.1082, 3433.2889, 1733.5533, 3106.8006, 1584.5307, 1610.0729, 1586.6867, 1618.7380
152.3290, 1749.5954, 3123.6801, 1657.8285, 3438.1781, 1733.5809, 3108.3318, 1585.2994, 1610.2392, 1587.4587, 1617.8480
153.3290, 1751.7255, 3119.3643, 1659.5356, 3432.8417, 1733.6765, 3122.4053, 1586.2247, 1610.4398, 1587.1644, 1618.5095
154.3290, 1751.3754, 3113.8446, 1656.9617, 3432.8865, 1735.1682, 3128.6939, 1584.5970, 1610.2922, 1585.9091, 1618.0774
155.3290, 1751.8587, 3115.2896, 1658.0989, 3428.6055, 1733.9954, 3126.4991, 1585.3843, 1609.6042, 1587.0420, 1618.6792
156.3290, 1751.7528, 3112.6589, 1657.8456, 3425.9749, 1733.9853, 3126.9835, 1585.7608, 1609.9446, 1586.7823, 1619.0461
