"File: DDELog(Excel:M7_DRG	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M7_DRG_19_7\M7.LOG"
"Date: Tue Jul 19 2022 14:45:8.837"
122.5140, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (30, 126), Size: (37, 38), Area: 1078]"
"Region 2: [Location: (227, 242), Size: (30, 33), Area: 770]"
"Region 3: [Location: (102, 306), Size: (21, 21), Area: 305]"
"Region 4: [Location: (0, 374), Size: (30, 28), Area: 656]"
"Region 5: [Location: (272, 398), Size: (27, 25), Area: 519]"
"Region 6: [Location: (274, 418), Size: (21, 21), Area: 305]"
"Region 7: [Location: (290, 422), Size: (29, 30), Area: 678]"
"Region 8: [Location: (142, 66), Size: (45, 47), Area: 1637]"
"Region 9: [Location: (163, 179), Size: (42, 48), Area: 1540]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg"
39.3200, 1745.5965, 4558.2032, 1685.4364, 3603.1338, 1632.3770, 2462.1869, 1744.9710, 5247.8918, 1753.7823, 5298.5645, 1736.7967, 4577.8721, 1696.4897, 3581.4572, 1609.0104, 1631.5596, 1610.0214, 1640.2656
40.3200, 1746.2959, 4564.2087, 1683.7351, 3597.2857, 1631.6820, 2459.7639, 1743.7744, 5245.3079, 1753.2794, 5302.1407, 1737.5180, 4600.2492, 1696.4027, 3595.8201, 1609.1100, 1631.4007, 1609.4455, 1639.7974
41.3200, 1744.4694, 4560.6494, 1684.1519, 3596.1896, 1631.9869, 2456.1213, 1744.4116, 5228.3841, 1753.2659, 5298.9364, 1734.2525, 4597.9803, 1694.7640, 3605.0192, 1608.8021, 1630.9389, 1610.0162, 1639.8851
42.3200, 1744.8321, 4564.0965, 1686.5039, 3598.7039, 1630.3639, 2460.0459, 1742.5488, 5217.1555, 1753.4509, 5303.7630, 1736.6852, 4590.5311, 1695.6814, 3605.0088, 1608.9285, 1631.1350, 1609.2253, 1639.3701
43.3200, 1745.1874, 4563.4276, 1684.2909, 3593.6714, 1631.9803, 2453.5902, 1743.1265, 5207.3704, 1753.1175, 5300.9692, 1734.7902, 4586.9246, 1693.7183, 3617.5177, 1608.9133, 1632.7190, 1609.6487, 1640.2519
44.3200, 1744.6725, 4565.2282, 1686.1442, 3590.3896, 1631.8689, 2449.0393, 1740.6753, 5207.3841, 1750.4894, 5295.9056, 1736.0525, 4579.4426, 1694.7050, 3578.6254, 1610.0483, 1632.3427, 1609.5481, 1639.2260
45.3200, 1744.6874, 4559.7087, 1684.2143, 3592.9156, 1632.3902, 2456.6656, 1743.2896, 5209.6768, 1753.8979, 5295.3430, 1736.1574, 4582.5344, 1695.7330, 3592.6888, 1610.3311, 1631.6549, 1611.3143, 1639.8734
46.3200, 1745.1735, 4559.9128, 1684.2519, 3586.1221, 1632.8131, 2450.9246, 1741.5701, 5198.9619, 1752.0559, 5302.1368, 1736.3738, 4554.6984, 1695.7065, 3541.7876, 1608.4404, 1632.0806, 1610.7442, 1639.3396
47.3200, 1745.6020, 4563.4926, 1685.7442, 3593.1286, 1633.8164, 2446.8754, 1743.3277, 5188.0579, 1753.6358, 5297.1195, 1733.9246, 4572.3869, 1697.1239, 3553.5826, 1608.6151, 1630.7776, 1609.0656, 1639.2669
48.3200, 1744.0241, 4560.4314, 1684.2558, 3589.0403, 1630.8852, 2450.9902, 1742.7104, 5189.9268, 1752.8690, 5295.5087, 1736.2361, 4571.3443, 1695.8835, 3567.8422, 1609.0281, 1631.5241, 1609.4338, 1638.3383
49.3200, 1744.9434, 4561.6540, 1684.9857, 3587.5325, 1631.7115, 2451.4000, 1742.2576, 5181.5686, 1752.6435, 5296.1580, 1735.0000, 4567.2557, 1694.6357, 3587.3569, 1607.3812, 1631.6915, 1610.4558, 1639.3370
50.3200, 1744.4119, 4556.7542, 1683.6805, 3591.1117, 1633.9410, 2453.8295, 1740.4817, 5178.2957, 1752.7129, 5293.4759, 1736.2557, 4580.5344, 1695.3879, 3595.4720, 1608.2902, 1631.8509, 1608.5701, 1639.9273
51.3200, 1743.6178, 4558.7746, 1683.4714, 3589.6273, 1631.6787, 2445.9934, 1739.6540, 5168.7881, 1750.9942, 5295.9056, 1732.9770, 4578.8393, 1693.8407, 3601.9646, 1608.5651, 1630.0092, 1609.8344, 1638.7617
52.3200, 1743.4443, 4561.6206, 1685.1896, 3587.7662, 1631.9836, 2448.4525, 1739.9421, 5171.8415, 1752.8054, 5294.3988, 1734.9836, 4582.4525, 1693.0590, 3610.6667, 1608.4136, 1631.3354, 1609.6409, 1638.7201
53.3200, 1743.3432, 4554.4944, 1684.5195, 3581.3065, 1633.0885, 2447.2525, 1740.4878, 5178.2195, 1752.2601, 5285.5992, 1735.0689, 4575.8131, 1692.2006, 3618.3909, 1609.1576, 1633.0977, 1609.6344, 1639.5714
54.3200, 1745.1429, 4546.8154, 1684.0455, 3584.7429, 1630.3410, 2444.7902, 1741.9527, 5179.5655, 1751.1946, 5287.4489, 1733.6525, 4556.9770, 1695.1814, 3571.9602, 1609.8143, 1631.7825, 1610.9747, 1639.1260
