"File: DDELog(Excel:M12	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M12_DRG_20_7\M12.LOG"
"Date: Wed Jul 20 2022 10:44:27.576"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Time (sec)"
3.4880
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (291, 74), Size: (60, 51), Area: 2362]"
"Region 2: [Location: (198, 178), Size: (24, 21), Area: 396]"
"Region 3: [Location: (155, 213), Size: (33, 31), Area: 791]"
"Region 4: [Location: (87, 214), Size: (65, 56), Area: 2828]"
"Region 5: [Location: (82, 266), Size: (63, 56), Area: 2730]"
"Region 6: [Location: (262, 369), Size: (77, 80), Area: 4760]"
"Region 7: [Location: (340, 425), Size: (30, 40), Area: 940]"
"Region 8: [Location: (93, 477), Size: (53, 34), Area: 1378]"
"Region 9: [Location: (85, 79), Size: (38, 34), Area: 992]"
"Region 10: [Location: (46, 136), Size: (58, 52), Area: 2328]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
36.6010, 1731.9132, 6183.3844, 1633.1667, 3047.8384, 1662.5335, 3794.9166, 1781.9148, 6332.1308, 1749.2527, 4543.6410, 1737.0952, 6593.9643, 1676.1787, 4214.8202, 1704.0602, 4728.6567, 1590.7026, 1622.1895, 1590.9613, 1634.1585
37.6010, 1731.8768, 6182.8074, 1632.4419, 3048.4116, 1663.6056, 3787.9975, 1781.8614, 6330.1612, 1749.2652, 4545.9392, 1735.6912, 6590.9214, 1676.1787, 4214.3660, 1704.4557, 4725.8280, 1591.9758, 1621.0887, 1589.8991, 1632.7320
38.6010, 1731.2388, 6177.8404, 1632.3258, 3036.6010, 1664.7054, 3785.0354, 1783.7924, 6327.1729, 1749.0509, 4548.4289, 1735.9605, 6587.4061, 1676.5106, 4207.6989, 1703.0327, 4723.5298, 1591.0988, 1621.5081, 1591.9270, 1633.9403
39.6010, 1732.2739, 6180.6778, 1633.3586, 3042.7197, 1664.3451, 3787.5120, 1782.7337, 6324.8833, 1749.5967, 4549.3626, 1736.3588, 6587.6966, 1675.3000, 4207.6160, 1703.9819, 4717.7663, 1592.5081, 1622.4688, 1592.2947, 1634.8003
40.6010, 1733.0339, 6183.3751, 1633.9495, 3046.6717, 1663.2200, 3783.4387, 1782.5820, 6321.6687, 1749.3440, 4551.2436, 1736.6616, 6586.1376, 1676.3415, 4209.5021, 1704.5174, 4714.9369, 1591.8317, 1621.6482, 1591.3995, 1634.7143
41.6010, 1732.1744, 6181.2354, 1634.6136, 3040.1894, 1663.1214, 3783.8723, 1783.2956, 6316.0965, 1750.1462, 4545.0916, 1735.9687, 6579.5922, 1673.7745, 4209.6213, 1702.8607, 4709.4659, 1593.7419, 1621.9980, 1591.7302, 1634.8488
42.6010, 1732.0021, 6176.5199, 1633.9444, 3041.9899, 1662.6296, 3780.3236, 1780.9943, 6319.4576, 1748.6912, 4549.7194, 1736.0462, 6576.8899, 1675.4798, 4209.2947, 1703.6176, 4710.9652, 1590.3438, 1620.9738, 1590.6035, 1634.2526
43.6010, 1732.7934, 6177.1617, 1634.6288, 3044.8687, 1663.3590, 3778.4425, 1782.9607, 6316.1524, 1748.1949, 4551.2857, 1736.3265, 6574.4382, 1675.1479, 4211.2426, 1703.2896, 4709.8476, 1592.0786, 1620.7802, 1591.5142, 1633.7908
44.6010, 1732.5453, 6175.6626, 1631.7500, 3045.8561, 1662.9722, 3778.5512, 1782.3487, 6314.1800, 1749.9747, 4551.5967, 1735.8101, 6570.7735, 1676.5532, 4215.8670, 1706.0900, 4702.9695, 1592.3700, 1622.6804, 1591.9790, 1633.7736
45.6010, 1732.6274, 6173.9627, 1633.2449, 3042.9167, 1663.1896, 3775.1808, 1781.0488, 6313.5276, 1748.6070, 4551.4696, 1735.1231, 6572.9954, 1675.3787, 4210.3872, 1703.5131, 4709.0530, 1592.1099, 1621.5675, 1591.6254, 1634.5047
