"File: DDELog(Excel:M9	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M9_DRG_19_7\M9_S+T.LOG"
"Date: Tue Jul 19 2022 15:58:19.17"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
67.0910
101.8030
0.0000, "Clock reset to 0.0"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (294, 113), Size: (26, 25), Area: 506]"
"Region 2: [Location: (297, 135), Size: (25, 24), Area: 468]"
"Region 3: [Location: (350, 282), Size: (29, 31), Area: 695]"
"Region 4: [Location: (278, 266), Size: (39, 38), Area: 1150]"
"Region 5: [Location: (258, 289), Size: (23, 26), Area: 458]"
"Region 6: [Location: (122, 351), Size: (37, 35), Area: 991]"
"Region 7: [Location: (131, 404), Size: (40, 42), Area: 1300]"
"Region 8: [Location: (0, 472), Size: (24, 28), Area: 520]"
"Region 9: [Location: (84, 99), Size: (38, 36), Area: 1056]"
"Region 10: [Location: (26, 222), Size: (45, 47), Area: 1637]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
65.8970, 1647.2609, 2899.9704, 1660.8825, 2758.8697, 1700.6734, 3377.4892, 1741.1391, 2606.1287, 1660.4301, 3003.7948, 1699.8618, 3487.4178, 1687.2023, 4077.7262, 1659.1519, 3484.3712, 1605.6241, 1640.3068, 1603.2841, 1633.7520
66.8970, 1648.7569, 2899.1225, 1662.6282, 2765.2735, 1696.5036, 3381.6115, 1742.2270, 2606.5922, 1660.3734, 2998.3581, 1698.3058, 3493.1070, 1687.7762, 4079.8746, 1659.0538, 3480.6635, 1605.0246, 1639.1411, 1605.4087, 1633.3800
67.8970, 1648.6265, 2901.2826, 1661.3248, 2767.3632, 1698.3353, 3378.9727, 1740.5078, 2603.4583, 1658.7293, 3004.8908, 1698.2805, 3498.4712, 1686.4700, 4079.8069, 1654.9173, 3480.9788, 1605.8305, 1638.4830, 1603.3592, 1632.3610
68.8970, 1650.8676, 2898.1838, 1662.2970, 2762.3697, 1696.3914, 3380.1511, 1740.7583, 2602.9539, 1659.4869, 3002.3559, 1699.5883, 3499.1524, 1686.9038, 4084.6369, 1658.1308, 3481.1404, 1606.0218, 1639.6979, 1603.8094, 1633.4569
69.8970, 1650.6779, 2899.4150, 1663.1987, 2761.6880, 1697.2950, 3382.1453, 1741.4478, 2602.1026, 1658.5721, 2999.2882, 1697.9859, 3502.5409, 1686.9015, 4083.9400, 1657.9038, 3488.5635, 1605.2462, 1638.9328, 1604.3653, 1633.0703
70.8970, 1648.3300, 2900.7036, 1663.3996, 2762.1752, 1697.8547, 3374.7669, 1740.0339, 2603.9061, 1658.9956, 2995.1921, 1698.5772, 3502.6791, 1688.6600, 4083.0454, 1657.6615, 3483.2288, 1606.2405, 1639.0919, 1604.5070, 1633.0318
71.8970, 1647.2312, 2898.9012, 1664.0491, 2764.4252, 1699.3511, 3377.3914, 1742.2078, 2605.8383, 1660.2227, 2999.5044, 1697.4511, 3502.9435, 1688.8977, 4075.8000, 1659.0923, 3481.4096, 1605.1070, 1638.6903, 1603.9401, 1634.0770
72.8970, 1649.7016, 2897.6601, 1662.4081, 2762.7051, 1696.9237, 3379.9367, 1741.8096, 2605.9130, 1659.3755, 3002.8079, 1698.3895, 3505.3794, 1687.7831, 4082.4492, 1657.6654, 3487.3038, 1604.9015, 1638.1998, 1603.6206, 1634.6133
73.8970, 1648.6601, 2901.7866, 1665.0983, 2757.7778, 1699.2662, 3373.6158, 1741.5748, 2606.4565, 1658.8100, 3001.8537, 1695.8708, 3503.8113, 1687.1177, 4075.8154, 1658.8058, 3477.9346, 1605.5123, 1639.9100, 1602.7214, 1632.5003
74.8970, 1648.4802, 2898.6206, 1662.9466, 2759.8162, 1698.0029, 3378.5252, 1741.2809, 2607.3783, 1659.3603, 2997.9760, 1697.7487, 3505.5863, 1689.1531, 4077.9000, 1657.4865, 3488.5096, 1604.1913, 1638.2926, 1603.8375, 1632.6426
75.8970, 1649.6719, 2898.4921, 1662.6816, 2760.6090, 1698.9108, 3382.0230, 1741.4322, 2609.1148, 1660.9083, 3000.1987, 1697.5873, 3508.6801, 1687.3162, 4072.5392, 1657.5442, 3486.9365, 1604.3854, 1638.5852, 1603.4252, 1632.8827
76.8970, 1647.1028, 2898.9170, 1661.6987, 2769.3269, 1697.8978, 3378.2446, 1740.9774, 2606.6435, 1656.8974, 2993.1900, 1697.4268, 3510.5560, 1687.2738, 4074.1662, 1657.7404, 3486.2231, 1605.7027, 1639.9157, 1603.7428, 1633.1026
77.8970, 1647.8518, 2897.7925, 1661.1175, 2771.8526, 1698.1022, 3379.0691, 1741.9643, 2605.6278, 1658.4432, 2997.1223, 1695.4057, 3504.5913, 1687.6085, 4073.4108, 1658.6577, 3484.0673, 1604.7263, 1637.9877, 1603.7233, 1633.3060
78.8970, 1649.8478, 2900.5968, 1661.7756, 2766.3098, 1698.0432, 3360.1309, 1742.0574, 2602.2730, 1658.9760, 2997.8013, 1698.4168, 3504.0272, 1688.7077, 4069.5462, 1658.5923, 3480.6231, 1605.3816, 1638.9858, 1604.5602, 1633.5089
79.8970, 1647.8024, 2897.3636, 1662.7628, 2765.0000, 1695.4446, 3349.9957, 1741.1330, 2598.2078, 1660.8384, 2990.5197, 1697.7064, 3495.1282, 1686.9362, 4064.7846, 1658.7308, 3482.3077, 1605.6941, 1640.9706, 1603.3610, 1633.7960
80.8970, 1649.6739, 2892.9822, 1664.1538, 2759.2329, 1696.6719, 3346.9122, 1741.8035, 2596.4165, 1659.4236, 2986.6834, 1697.9657, 3494.3542, 1686.8438, 4063.1785, 1656.7654, 3487.7654, 1606.1648, 1638.9650, 1604.4374, 1633.7373
81.8970, 1648.2945, 2886.0534, 1661.1154, 2742.8526, 1694.4993, 3347.7827, 1741.2183, 2592.2435, 1659.2620, 2980.8384, 1697.8083, 3492.0616, 1688.4177, 4057.0954, 1658.6981, 3476.5327, 1604.1837, 1639.1998, 1603.3830, 1633.4991
82.8970, 1648.7767, 2888.3182, 1663.1752, 2741.4487, 1696.4072, 3343.7554, 1740.6296, 2585.4217, 1660.2227, 2984.0677, 1696.0656, 3490.6589, 1687.1631, 4061.6892, 1654.7096, 3480.2462, 1605.8741, 1639.0038, 1604.5999, 1633.4679
83.8970, 1647.7806, 2889.7451, 1662.4209, 2742.0342, 1696.0460, 3336.7971, 1739.6148, 2586.1026, 1660.2576, 2985.5917, 1698.1423, 3489.5055, 1686.8531, 4059.5938, 1657.8462, 3477.0135, 1604.8191, 1639.1752, 1604.6261, 1633.8033
84.8970, 1649.5494, 2884.4249, 1661.6774, 2739.8825, 1696.2518, 3333.2331, 1741.4530, 2580.6635, 1659.4520, 2989.1747, 1697.9879, 3490.3189, 1688.3331, 4056.9462, 1658.6615, 3472.8769, 1605.9413, 1637.7027, 1602.6072, 1634.6659
85.8970, 1648.1976, 2880.4170, 1662.3205, 2739.7799, 1695.7194, 3329.4432, 1740.8487, 2582.2757, 1658.3341, 2983.0284, 1696.9102, 3489.7881, 1686.9869, 4058.3808, 1658.1308, 3473.5385, 1605.2500, 1638.8864, 1603.1307, 1634.1839
86.8970, 1647.8617, 2882.1285, 1659.6581, 2743.6154, 1698.0734, 3328.3928, 1740.6730, 2579.0565, 1660.1725, 2979.1790, 1696.3935, 3487.2644, 1686.6185, 4053.6377, 1657.0000, 3470.0288, 1604.4318, 1637.6686, 1602.7117, 1634.2254
