"File: DDELog(Excel:M13	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M13_DRG_20_7\M13.LOG"
"Date: Wed Jul 20 2022 11:3:11.233"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
54.8040
114.1950
157.8030
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (104, 68), Size: (74, 57), Area: 3256]"
"Region 2: [Location: (314, 125), Size: (33, 34), Area: 858]"
"Region 3: [Location: (252, 174), Size: (29, 33), Area: 737]"
"Region 4: [Location: (283, 230), Size: (42, 36), Area: 1164]"
"Region 5: [Location: (60, 156), Size: (30, 25), Area: 582]"
"Region 6: [Location: (38, 375), Size: (39, 41), Area: 1239]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg"
98.8620, 1702.2626, 4941.5519, 1659.1131, 3467.5420, 1650.3677, 2922.3324, 1643.2045, 2766.4699, 1587.6735, 1618.3196, 1587.3236, 1615.4479
99.8620, 1701.0817, 4941.3111, 1660.1935, 3470.0548, 1651.4043, 2923.1438, 1644.8058, 2770.7741, 1585.6392, 1617.9072, 1587.3446, 1615.1864
100.8620, 1703.1643, 4944.0728, 1660.1597, 3466.6107, 1651.4410, 2924.4464, 1644.5687, 2773.5919, 1586.7938, 1617.9674, 1587.8144, 1615.6320
101.8620, 1702.8194, 4939.4361, 1660.4732, 3467.3823, 1650.8128, 2920.1248, 1644.8136, 2776.7242, 1586.2010, 1617.9845, 1587.0282, 1616.0395
102.8620, 1701.7346, 4939.6339, 1658.7086, 3464.4441, 1649.7218, 2921.4274, 1644.6598, 2776.5326, 1586.2165, 1617.1959, 1586.9443, 1615.4052
103.8620, 1701.8953, 4940.0900, 1659.0501, 3462.7716, 1650.4695, 2922.6934, 1645.7294, 2773.8222, 1587.1409, 1619.1684, 1586.6820, 1614.7256
104.8620, 1701.4598, 4935.1843, 1659.8776, 3467.2296, 1649.3718, 2921.5360, 1644.5765, 2772.7225, 1588.1203, 1619.5395, 1586.0161, 1615.4762
105.8620, 1701.5608, 4937.8071, 1660.8555, 3463.9138, 1649.2008, 2922.5129, 1642.9132, 2774.9064, 1587.5309, 1618.3351, 1587.3341, 1615.5730
106.8620, 1702.8372, 4940.4229, 1660.4394, 3469.2133, 1651.4193, 2918.9009, 1643.5318, 2772.3351, 1586.0017, 1616.5636, 1587.1517, 1614.7821
107.8620, 1703.4705, 4938.8348, 1659.1340, 3462.9429, 1651.4545, 2918.9362, 1644.2689, 2776.6847, 1587.4227, 1618.1392, 1587.0960, 1614.4810
108.8620, 1701.5341, 4936.1978, 1660.8124, 3463.5105, 1650.5957, 2919.0733, 1644.4785, 2780.4502, 1587.6890, 1618.2509, 1587.1743, 1614.2559
109.8620, 1701.8087, 4933.6563, 1659.5198, 3460.4184, 1651.9349, 2917.1343, 1644.2904, 2772.1065, 1588.1959, 1619.2027, 1586.4584, 1615.3236
110.8620, 1702.8065, 4935.1569, 1659.4639, 3457.3869, 1650.9444, 2917.8236, 1645.0911, 2774.7869, 1586.0979, 1618.4364, 1587.0710, 1614.1033
111.8620, 1702.1615, 4935.0648, 1659.9359, 3456.1888, 1650.6635, 2914.4071, 1644.1813, 2774.9948, 1586.6615, 1619.2010, 1586.0726, 1614.4399
112.8620, 1702.0525, 4934.0467, 1660.2028, 3452.6795, 1649.3881, 2914.8385, 1643.3247, 2779.2088, 1585.6753, 1617.0155, 1586.9588, 1612.8531
113.8620, 1701.5872, 4932.5344, 1659.5536, 3452.9044, 1649.8630, 2910.4383, 1644.9845, 2778.9210, 1586.8265, 1618.5361, 1586.1921, 1614.7651
114.8620, 1701.9441, 4932.3913, 1657.6935, 3451.2040, 1652.2008, 2910.1479, 1644.2294, 2775.6856, 1586.0292, 1618.2543, 1586.4980, 1614.4237
115.8620, 1701.1846, 4932.4315, 1658.9172, 3453.2786, 1651.0339, 2909.2198, 1643.2655, 2777.3282, 1585.9691, 1617.9708, 1586.2776, 1613.9483
116.8620, 1702.3900, 4930.6250, 1659.6573, 3448.2249, 1650.1655, 2911.1682, 1643.5782, 2775.3479, 1587.7491, 1618.0739, 1587.3850, 1614.0097
117.8620, 1702.2208, 4932.1453, 1660.2739, 3453.2517, 1650.1995, 2912.5197, 1643.6478, 2772.8230, 1588.2182, 1615.9725, 1585.7716, 1613.5763
118.8620, 1701.7813, 4928.9306, 1659.2471, 3447.0035, 1651.3799, 2911.2388, 1643.9046, 2768.4562, 1587.9227, 1617.4966, 1586.9524, 1614.9435
119.8620, 1701.4837, 4928.5977, 1658.0909, 3447.2284, 1649.8548, 2918.1696, 1643.8780, 2767.6014, 1585.9983, 1616.4759, 1586.5819, 1614.5214
120.8620, 1701.9097, 4924.9005, 1658.2343, 3446.1131, 1649.7531, 2919.2130, 1643.0009, 2771.8144, 1586.2955, 1617.4948, 1586.2583, 1614.7248
121.8620, 1701.4997, 4927.5670, 1659.7669, 3445.9510, 1649.6716, 2916.6689, 1642.9579, 2771.0378, 1586.5515, 1618.1220, 1585.4843, 1616.1759
122.8620, 1701.1130, 4924.7174, 1661.1993, 3448.0245, 1648.8521, 2917.1750, 1643.4450, 2769.5550, 1585.7887, 1617.8522, 1585.6723, 1614.1138
123.8620, 1700.4601, 4923.3243, 1659.2564, 3442.7879, 1651.4179, 2910.5590, 1644.0318, 2769.2225, 1587.1271, 1619.2165, 1586.8773, 1614.8531
124.8620, 1702.0473, 4923.2571, 1660.0175, 3445.9033, 1649.7639, 2916.0692, 1644.4296, 2771.1091, 1586.7354, 1618.7577, 1585.6529, 1615.5908
125.8620, 1701.9349, 4923.8879, 1658.6970, 3447.6702, 1650.5957, 2910.1452, 1643.4759, 2774.8179, 1585.7887, 1617.7027, 1587.3132, 1614.2098
126.8620, 1701.2936, 4919.4813, 1658.8007, 3441.5070, 1650.6798, 2910.3867, 1643.3282, 2773.4562, 1585.2113, 1618.1581, 1587.3204, 1615.0299
127.8620, 1700.9776, 4918.7383, 1659.0478, 3437.6480, 1649.6988, 2911.1669, 1643.0163, 2770.9648, 1586.8213, 1618.6976, 1585.1985, 1615.1090
128.8620, 1700.5872, 4918.6225, 1659.3159, 3438.4883, 1649.2008, 2910.2877, 1642.4802, 2771.3136, 1587.3419, 1617.4674, 1586.9298, 1614.5892
